Transformed Features and CoefficientsParand: degree=8, λ=1                                                  Feature  Coefficient
0                                                    Area  9106.893441
1                                                    Room   302.416946
2                                             Has_Parking  3009.012686
3                                           Has_Warehouse     0.000000
4                                            Has_Elevator  -671.310550
5                                                  Area^2  1245.184516
6                                               Area Room   435.647645
7                                        Area Has_Parking  5270.813098
8                                      Area Has_Warehouse  -364.477047
9                                       Area Has_Elevator   527.019202
10                                                 Room^2   -48.888537
11                                       Room Has_Parking -1003.866576
12                                     Room Has_Warehouse -1159.709216
13                                      Room Has_Elevator -2612.116177
14                              Has_Parking Has_Warehouse  3515.708631
15                               Has_Parking Has_Elevator -1677.697640
16                             Has_Warehouse Has_Elevator  -623.169326
17                                                 Area^3  -577.687484
18                                            Area^2 Room   408.520955
19                                     Area^2 Has_Parking  -449.599663
20                                   Area^2 Has_Warehouse  -797.820386
21                                    Area^2 Has_Elevator  3737.371119
22                                            Area Room^2 -1406.030028
23                                  Area Room Has_Parking  2908.119249
24                                Area Room Has_Warehouse     0.000000
25                                 Area Room Has_Elevator   374.102113
26                         Area Has_Parking Has_Warehouse  2815.526495
27                          Area Has_Parking Has_Elevator  -811.841835
28                        Area Has_Warehouse Has_Elevator -3814.501669
29                                                 Room^3   278.421445
30                                     Room^2 Has_Parking    29.393029
31                                   Room^2 Has_Warehouse  -165.212432
32                                    Room^2 Has_Elevator   195.924032
33                         Room Has_Parking Has_Warehouse     0.000000
34                          Room Has_Parking Has_Elevator     0.000000
35                        Room Has_Warehouse Has_Elevator   198.341894
36                 Has_Parking Has_Warehouse Has_Elevator     0.000000
37                                                 Area^4    46.849917
38                                            Area^3 Room  -506.595304
39                                     Area^3 Has_Parking    23.737738
40                                   Area^3 Has_Warehouse    -0.627262
41                                    Area^3 Has_Elevator  -805.622196
42                                          Area^2 Room^2    37.927638
43                                Area^2 Room Has_Parking    -0.000000
44                              Area^2 Room Has_Warehouse     0.000000
45                               Area^2 Room Has_Elevator  2110.012340
46                       Area^2 Has_Parking Has_Warehouse  -986.439538
47                        Area^2 Has_Parking Has_Elevator -1585.492876
48                      Area^2 Has_Warehouse Has_Elevator -3040.123664
49                                            Area Room^3   -27.711453
50                                Area Room^2 Has_Parking   366.966113
51                              Area Room^2 Has_Warehouse    62.754728
52                               Area Room^2 Has_Elevator  1895.942795
53                    Area Room Has_Parking Has_Warehouse  2138.144310
54                     Area Room Has_Parking Has_Elevator  2210.045367
55                   Area Room Has_Warehouse Has_Elevator     0.000000
56            Area Has_Parking Has_Warehouse Has_Elevator -5703.263862
57                                                 Room^4    82.892807
58                                     Room^3 Has_Parking   -72.875322
59                                   Room^3 Has_Warehouse  -106.410927
60                                    Room^3 Has_Elevator  -122.267806
61                       Room^2 Has_Parking Has_Warehouse     0.000000
62                        Room^2 Has_Parking Has_Elevator -1695.702723
63                      Room^2 Has_Warehouse Has_Elevator  -388.027198
64            Room Has_Parking Has_Warehouse Has_Elevator  2099.176619
65                                                 Area^5    13.745369
66                                            Area^4 Room    49.469699
67                                     Area^4 Has_Parking    -8.001441
68                                   Area^4 Has_Warehouse    -3.295331
69                                    Area^4 Has_Elevator   171.124329
70                                          Area^3 Room^2   -92.124224
71                                Area^3 Room Has_Parking   -62.977737
72                              Area^3 Room Has_Warehouse   -24.514687
73                               Area^3 Room Has_Elevator   -25.467130
74                       Area^3 Has_Parking Has_Warehouse   -71.071348
75                        Area^3 Has_Parking Has_Elevator  -154.920133
76                      Area^3 Has_Warehouse Has_Elevator   -77.634301
77                                          Area^2 Room^3   -85.947308
78                              Area^2 Room^2 Has_Parking   326.174734
79                            Area^2 Room^2 Has_Warehouse     0.000000
80                             Area^2 Room^2 Has_Elevator   413.651082
81                  Area^2 Room Has_Parking Has_Warehouse -1088.211153
82                   Area^2 Room Has_Parking Has_Elevator   869.826097
83                 Area^2 Room Has_Warehouse Has_Elevator     0.000000
84          Area^2 Has_Parking Has_Warehouse Has_Elevator -2495.947532
85                                            Area Room^4    56.356472
86                                Area Room^3 Has_Parking   269.092203
87                              Area Room^3 Has_Warehouse    -0.000000
88                               Area Room^3 Has_Elevator   261.919381
89                  Area Room^2 Has_Parking Has_Warehouse  -241.415799
90                   Area Room^2 Has_Parking Has_Elevator  1879.223662
91                 Area Room^2 Has_Warehouse Has_Elevator    17.096436
92       Area Room Has_Parking Has_Warehouse Has_Elevator   165.201177
93                                                 Room^5     3.095725
94                                     Room^4 Has_Parking    13.357683
95                                   Room^4 Has_Warehouse    -9.852115
96                                    Room^4 Has_Elevator    18.233944
97                       Room^3 Has_Parking Has_Warehouse     4.913553
98                        Room^3 Has_Parking Has_Elevator    28.007160
99                      Room^3 Has_Warehouse Has_Elevator    -7.367974
100         Room^2 Has_Parking Has_Warehouse Has_Elevator -1491.490139
101                                                Area^6     1.206269
102                                           Area^5 Room    -7.147357
103                                    Area^5 Has_Parking     1.121975
104                                  Area^5 Has_Warehouse    -0.149798
105                                   Area^5 Has_Elevator    35.364727
106                                         Area^4 Room^2   -13.706265
107                               Area^4 Room Has_Parking    -8.230247
108                             Area^4 Room Has_Warehouse    -0.000000
109                              Area^4 Room Has_Elevator    37.468392
110                      Area^4 Has_Parking Has_Warehouse    -3.937601
