Transformed Features and CoefficientsParand: degree=8, λ=100.0                                                  Feature  Coefficient
0                                                    Area  7807.006900
1                                                    Room    -0.000000
2                                             Has_Parking  2166.968215
3                                           Has_Warehouse     0.000000
4                                            Has_Elevator -1178.975737
5                                                  Area^2     0.000000
6                                               Area Room     0.000000
7                                        Area Has_Parking  3340.103189
8                                      Area Has_Warehouse     0.000000
9                                       Area Has_Elevator    -0.000000
10                                                 Room^2     0.000000
11                                       Room Has_Parking    -0.000000
12                                     Room Has_Warehouse    -0.000000
13                                      Room Has_Elevator    -0.000000
14                              Has_Parking Has_Warehouse  2224.115706
15                               Has_Parking Has_Elevator    -0.000000
16                             Has_Warehouse Has_Elevator  -500.851984
17                                                 Area^3    -0.000000
18                                            Area^2 Room    -0.000000
19                                     Area^2 Has_Parking     0.000000
20                                   Area^2 Has_Warehouse     0.000000
21                                    Area^2 Has_Elevator    -0.000000
22                                            Area Room^2    -0.000000
23                                  Area Room Has_Parking     0.000000
24                                Area Room Has_Warehouse     0.000000
25                                 Area Room Has_Elevator     0.000000
26                         Area Has_Parking Has_Warehouse     0.000000
27                          Area Has_Parking Has_Elevator    -0.000000
28                        Area Has_Warehouse Has_Elevator -1529.945189
29                                                 Room^3    -0.000000
30                                     Room^2 Has_Parking     0.000000
31                                   Room^2 Has_Warehouse     0.000000
32                                    Room^2 Has_Elevator     0.000000
33                         Room Has_Parking Has_Warehouse    -0.000000
34                          Room Has_Parking Has_Elevator    -0.000000
35                        Room Has_Warehouse Has_Elevator    -0.000000
36                 Has_Parking Has_Warehouse Has_Elevator    -0.000000
37                                                 Area^4    -9.389004
38                                            Area^3 Room    -0.000000
39                                     Area^3 Has_Parking     0.000000
40                                   Area^3 Has_Warehouse    -0.000000
41                                    Area^3 Has_Elevator -1982.821773
42                                          Area^2 Room^2     0.000000
43                                Area^2 Room Has_Parking    -0.000000
44                              Area^2 Room Has_Warehouse    -0.000000
45                               Area^2 Room Has_Elevator     0.000000
46                       Area^2 Has_Parking Has_Warehouse     0.000000
47                        Area^2 Has_Parking Has_Elevator    -0.000000
48                      Area^2 Has_Warehouse Has_Elevator  -166.648913
49                                            Area Room^3    21.225810
50                                Area Room^2 Has_Parking    -0.000000
51                              Area Room^2 Has_Warehouse    -0.000000
52                               Area Room^2 Has_Elevator     0.000000
53                    Area Room Has_Parking Has_Warehouse     0.000000
54                     Area Room Has_Parking Has_Elevator    -0.000000
55                   Area Room Has_Warehouse Has_Elevator    -0.000000
56            Area Has_Parking Has_Warehouse Has_Elevator    -0.000000
57                                                 Room^4    75.501053
58                                     Room^3 Has_Parking    -0.000000
59                                   Room^3 Has_Warehouse  -457.916231
60                                    Room^3 Has_Elevator    -0.000000
61                       Room^2 Has_Parking Has_Warehouse     0.000000
62                        Room^2 Has_Parking Has_Elevator    -0.000000
63                      Room^2 Has_Warehouse Has_Elevator    -0.000000
64            Room Has_Parking Has_Warehouse Has_Elevator    -0.000000
65                                                 Area^5    -2.001832
66                                            Area^4 Room    -0.000000
67                                     Area^4 Has_Parking    27.578192
68                                   Area^4 Has_Warehouse    -2.596399
69                                    Area^4 Has_Elevator    -0.000000
70                                          Area^3 Room^2    -0.000000
71                                Area^3 Room Has_Parking     0.000000
72                              Area^3 Room Has_Warehouse     0.000000
73                               Area^3 Room Has_Elevator     0.000000
74                       Area^3 Has_Parking Has_Warehouse     0.000000
75                        Area^3 Has_Parking Has_Elevator    -0.000000
76                      Area^3 Has_Warehouse Has_Elevator   -70.380007
77                                          Area^2 Room^3    -0.000000
78                              Area^2 Room^2 Has_Parking     0.000000
79                            Area^2 Room^2 Has_Warehouse     0.000000
80                             Area^2 Room^2 Has_Elevator     0.000000
81                  Area^2 Room Has_Parking Has_Warehouse    -0.000000
82                   Area^2 Room Has_Parking Has_Elevator     0.000000
83                 Area^2 Room Has_Warehouse Has_Elevator     0.000000
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -289.928102
85                                            Area Room^4    -0.000000
86                                Area Room^3 Has_Parking   947.199824
87                              Area Room^3 Has_Warehouse    24.119696
88                               Area Room^3 Has_Elevator     0.000000
89                  Area Room^2 Has_Parking Has_Warehouse    -0.000000
90                   Area Room^2 Has_Parking Has_Elevator     0.000000
91                 Area Room^2 Has_Warehouse Has_Elevator     0.000000
92       Area Room Has_Parking Has_Warehouse Has_Elevator    -0.000000
93                                                 Room^5   -74.216825
94                                     Room^4 Has_Parking     0.000000
95                                   Room^4 Has_Warehouse     0.000000
96                                    Room^4 Has_Elevator    -0.000000
97                       Room^3 Has_Parking Has_Warehouse    -0.000000
98                        Room^3 Has_Parking Has_Elevator    -0.000000
99                      Room^3 Has_Warehouse Has_Elevator    -0.000000
100         Room^2 Has_Parking Has_Warehouse Has_Elevator    -0.000000
101                                                Area^6    -0.385014
102                                           Area^5 Room    36.949651
103                                    Area^5 Has_Parking    -1.152605
104                                  Area^5 Has_Warehouse    -6.457233
105                                   Area^5 Has_Elevator    -0.000000
106                                         Area^4 Room^2     0.000000
107                               Area^4 Room Has_Parking     0.000000
108                             Area^4 Room Has_Warehouse     0.000000
109                              Area^4 Room Has_Elevator     0.000000
