Transformed Features and CoefficientsPunak: degree=8, λ=0.01                                                  Feature   Coefficient
0                                                    Area  56591.683251
1                                                    Room    431.223886
2                                             Has_Parking   7181.196126
3                                           Has_Warehouse -35803.755938
4                                            Has_Elevator   9758.513711
5                                                  Area^2  10306.604712
6                                               Area Room -12730.877187
7                                        Area Has_Parking   5642.209645
8                                      Area Has_Warehouse  -9682.617540
9                                       Area Has_Elevator   6518.876565
10                                                 Room^2   7005.755689
11                                       Room Has_Parking  -4756.327197
12                                     Room Has_Warehouse  -1036.688040
13                                      Room Has_Elevator   -777.287836
14                              Has_Parking Has_Warehouse   -302.135151
15                               Has_Parking Has_Elevator  12278.547054
16                             Has_Warehouse Has_Elevator  -9464.572351
17                                                 Area^3   -955.921210
18                                            Area^2 Room    738.217147
19                                     Area^2 Has_Parking   2955.953584
20                                   Area^2 Has_Warehouse   4635.325848
21                                    Area^2 Has_Elevator  -8683.851929
22                                            Area Room^2   1054.552434
23                                  Area Room Has_Parking  -3751.984628
24                                Area Room Has_Warehouse   -119.602284
25                                 Area Room Has_Elevator    860.567935
26                         Area Has_Parking Has_Warehouse   9472.925255
27                          Area Has_Parking Has_Elevator  -4592.054154
28                        Area Has_Warehouse Has_Elevator    595.027044
29                                                 Room^3   -857.163999
30                                     Room^2 Has_Parking   2071.600561
31                                   Room^2 Has_Warehouse    968.092250
32                                    Room^2 Has_Elevator    488.378285
33                         Room Has_Parking Has_Warehouse    -85.740636
34                          Room Has_Parking Has_Elevator   -373.401063
35                        Room Has_Warehouse Has_Elevator  -1558.896527
36                 Has_Parking Has_Warehouse Has_Elevator   7830.129082
37                                                 Area^4      8.280910
38                                            Area^3 Room   1227.799518
39                                     Area^3 Has_Parking  -2289.394577
40                                   Area^3 Has_Warehouse   -539.662839
41                                    Area^3 Has_Elevator    585.684625
42                                          Area^2 Room^2   1195.192697
43                                Area^2 Room Has_Parking  -2250.498651
44                              Area^2 Room Has_Warehouse     74.873027
45                               Area^2 Room Has_Elevator   -482.205762
46                       Area^2 Has_Parking Has_Warehouse   3117.801349
47                        Area^2 Has_Parking Has_Elevator  -4273.588713
48                      Area^2 Has_Warehouse Has_Elevator      9.850013
49                                            Area Room^3   -639.543029
50                                Area Room^2 Has_Parking   2795.283520
51                              Area Room^2 Has_Warehouse   -267.579847
52                               Area Room^2 Has_Elevator    -28.950146
53                    Area Room Has_Parking Has_Warehouse  -5033.012410
54                     Area Room Has_Parking Has_Elevator   -297.397650
55                   Area Room Has_Warehouse Has_Elevator    722.725680
56            Area Has_Parking Has_Warehouse Has_Elevator   6653.153765
57                                                 Room^4    443.161881
58                                     Room^3 Has_Parking   -519.959896
59                                   Room^3 Has_Warehouse   -298.937592
60                                    Room^3 Has_Elevator    -85.080294
61                       Room^2 Has_Parking Has_Warehouse     58.242350
62                        Room^2 Has_Parking Has_Elevator    246.696967
63                      Room^2 Has_Warehouse Has_Elevator    871.274067
64            Room Has_Parking Has_Warehouse Has_Elevator    682.844588
65                                                 Area^5     -0.696773
66                                            Area^4 Room    183.063103
67                                     Area^4 Has_Parking   -290.079509
68                                   Area^4 Has_Warehouse     54.077926
69                                    Area^4 Has_Elevator    -50.293323
70                                          Area^3 Room^2    292.883039
71                                Area^3 Room Has_Parking    797.538869
72                              Area^3 Room Has_Warehouse    -12.012833
73                               Area^3 Room Has_Elevator     53.912986
74                       Area^3 Has_Parking Has_Warehouse  -2439.417975
75                        Area^3 Has_Parking Has_Elevator     55.714089
76                      Area^3 Has_Warehouse Has_Elevator    -11.489445
77                                          Area^2 Room^3    -22.568581
78                              Area^2 Room^2 Has_Parking   1198.474994
79                            Area^2 Room^2 Has_Warehouse     61.555736
