Transformed Features and CoefficientsPunak: degree=8, λ=10                                                  Feature   Coefficient
0                                                    Area  50858.217585
1                                                    Room     -0.000000
2                                             Has_Parking   2088.769200
3                                           Has_Warehouse -33942.224261
4                                            Has_Elevator      0.000000
5                                                  Area^2  10066.406059
6                                               Area Room  -6055.064227
7                                        Area Has_Parking   3252.357118
8                                      Area Has_Warehouse    269.406005
9                                       Area Has_Elevator   1725.847713
10                                                 Room^2      0.000000
11                                       Room Has_Parking     -0.000000
12                                     Room Has_Warehouse     -0.000000
13                                      Room Has_Elevator     -0.000000
14                              Has_Parking Has_Warehouse     -0.000000
15                               Has_Parking Has_Elevator  19925.203468
16                             Has_Warehouse Has_Elevator     -0.000000
17                                                 Area^3  -1387.634054
18                                            Area^2 Room     -0.000000
19                                     Area^2 Has_Parking    723.634977
20                                   Area^2 Has_Warehouse   4257.669193
21                                    Area^2 Has_Elevator  -5133.731703
22                                            Area Room^2     53.434290
23                                  Area Room Has_Parking   -277.180628
24                                Area Room Has_Warehouse     -0.000000
25                                 Area Room Has_Elevator     -0.000000
26                         Area Has_Parking Has_Warehouse   2312.202082
27                          Area Has_Parking Has_Elevator      0.000000
28                        Area Has_Warehouse Has_Elevator   7001.083901
29                                                 Room^3  -1968.045521
30                                     Room^2 Has_Parking     -0.000000
31                                   Room^2 Has_Warehouse     -0.000000
32                                    Room^2 Has_Elevator     -0.000000
33                         Room Has_Parking Has_Warehouse     -0.000000
34                          Room Has_Parking Has_Elevator     -0.000000
35                        Room Has_Warehouse Has_Elevator     -0.000000
36                 Has_Parking Has_Warehouse Has_Elevator     -0.000000
37                                                 Area^4     60.208654
38                                            Area^3 Room   1145.455501
39                                     Area^3 Has_Parking  -2067.159718
40                                   Area^3 Has_Warehouse   -553.419037
41                                    Area^3 Has_Elevator    161.280663
42                                          Area^2 Room^2    990.065127
43                                Area^2 Room Has_Parking   -747.818418
44                              Area^2 Room Has_Warehouse    -77.880725
45                               Area^2 Room Has_Elevator   -608.954667
46                       Area^2 Has_Parking Has_Warehouse      0.000000
47                        Area^2 Has_Parking Has_Elevator   -805.777392
48                      Area^2 Has_Warehouse Has_Elevator  -1035.168235
49                                            Area Room^3   -573.983732
50                                Area Room^2 Has_Parking    921.477581
51                              Area Room^2 Has_Warehouse      0.012178
52                               Area Room^2 Has_Elevator      0.000000
53                    Area Room Has_Parking Has_Warehouse     -0.000000
54                     Area Room Has_Parking Has_Elevator     -0.000000
55                   Area Room Has_Warehouse Has_Elevator     -0.000000
56            Area Has_Parking Has_Warehouse Has_Elevator   3020.338513
57                                                 Room^4    694.006501
58                                     Room^3 Has_Parking      0.000000
59                                   Room^3 Has_Warehouse    -97.927952
60                                    Room^3 Has_Elevator   -346.473856
61                       Room^2 Has_Parking Has_Warehouse      0.000000
62                        Room^2 Has_Parking Has_Elevator      0.000000
63                      Room^2 Has_Warehouse Has_Elevator      0.000000
64            Room Has_Parking Has_Warehouse Has_Elevator     -0.000000
65                                                 Area^5      0.867525
66                                            Area^4 Room    185.130418
67                                     Area^4 Has_Parking   -213.397499
68                                   Area^4 Has_Warehouse     13.699211
69                                    Area^4 Has_Elevator     -5.237465
70                                          Area^3 Room^2    197.972141
71                                Area^3 Room Has_Parking    771.858406
72                              Area^3 Room Has_Warehouse      6.470444
73                               Area^3 Room Has_Elevator     70.228789
74                       Area^3 Has_Parking Has_Warehouse  -2140.531758
75                        Area^3 Has_Parking Has_Elevator     -0.035315
76                      Area^3 Has_Warehouse Has_Elevator     -0.000000
77                                          Area^2 Room^3   -112.434515
78                              Area^2 Room^2 Has_Parking    599.768420
79                            Area^2 Room^2 Has_Warehouse    124.862502
80                             Area^2 Room^2 Has_Elevator     52.278851
81                  Area^2 Room Has_Parking Has_Warehouse   -731.575218
82                   Area^2 Room Has_Parking Has_Elevator   -412.159903
83                 Area^2 Room Has_Warehouse Has_Elevator   -290.333549
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -1458.700763
85                                            Area Room^4     52.702769
86                                Area Room^3 Has_Parking  -1342.952674
87                              Area Room^3 Has_Warehouse     -0.000000
88                               Area Room^3 Has_Elevator     -0.134763
89                  Area Room^2 Has_Parking Has_Warehouse   1536.021163
90                   Area Room^2 Has_Parking Has_Elevator      0.015702
91                 Area Room^2 Has_Warehouse Has_Elevator      0.173012
92       Area Room Has_Parking Has_Warehouse Has_Elevator     -0.000000
93                                                 Room^5     -0.000000
94                                     Room^4 Has_Parking    604.516141
95                                   Room^4 Has_Warehouse    405.905555
96                                    Room^4 Has_Elevator    293.205374
97                       Room^3 Has_Parking Has_Warehouse     -0.000000
98                        Room^3 Has_Parking Has_Elevator     -0.000000
99                      Room^3 Has_Warehouse Has_Elevator     -0.000000
100         Room^2 Has_Parking Has_Warehouse Has_Elevator      0.000000
101                                                Area^6    -27.178381
102                                           Area^5 Room     92.820629
103                                    Area^5 Has_Parking    -53.916949
104                                  Area^5 Has_Warehouse     -4.894138
105                                   Area^5 Has_Elevator     -0.000000
106                                         Area^4 Room^2    198.758234
107                               Area^4 Room Has_Parking   -150.607604
108                             Area^4 Room Has_Warehouse     -0.628332
109                              Area^4 Room Has_Elevator     -7.804999
110                      Area^4 Has_Parking Has_Warehouse   -236.906113
111                       Area^4 Has_Parking Has_Elevator     -0.307099
112                     Area^4 Has_Warehouse Has_Elevator     -1.887991
113                                         Area^3 Room^3    354.310029
114                             Area^3 Room^2 Has_Parking   -339.988579
115                           Area^3 Room^2 Has_Warehouse    -14.752345
116                            Area^3 Room^2 Has_Elevator    -12.184813
117                 Area^3 Room Has_Parking Has_Warehouse    661.348437
118                  Area^3 Room Has_Parking Has_Elevator     42.587536
119                Area^3 Room Has_Warehouse Has_Elevator     34.439427
120         Area^3 Has_Parking Has_Warehouse Has_Elevator  -1849.134654
121                                         Area^2 Room^4     64.975072
122                             Area^2 Room^3 Has_Parking   -252.882275
123                           Area^2 Room^3 Has_Warehouse    -48.387939
