Transformed Features and CoefficientsShahran: degree=10, λ=1                                                  Feature   Coefficient
0                                                    Area  31270.574628
1                                                    Room   -600.638894
2                                             Has_Parking   1178.027399
3                                           Has_Warehouse -18129.819530
4                                            Has_Elevator      0.000000
5                                                  Area^2  10855.835768
6                                               Area Room  -3037.628904
7                                        Area Has_Parking   4614.069196
8                                      Area Has_Warehouse  -5931.821518
9                                       Area Has_Elevator  -5990.107485
10                                                 Room^2    922.548727
11                                       Room Has_Parking   3641.118711
12                                     Room Has_Warehouse    329.081148
13                                      Room Has_Elevator   2231.411330
14                              Has_Parking Has_Warehouse  10073.824790
15                               Has_Parking Has_Elevator    549.107579
16                             Has_Warehouse Has_Elevator   5477.042763
17                                                 Area^3     58.842538
18                                            Area^2 Room      0.000000
19                                     Area^2 Has_Parking   5744.390062
20                                   Area^2 Has_Warehouse     -0.000000
21                                    Area^2 Has_Elevator  -8474.420964
22                                            Area Room^2   1299.674251
23                                  Area Room Has_Parking   4454.630267
24                                Area Room Has_Warehouse  -1860.734237
25                                 Area Room Has_Elevator  -2956.911129
26                         Area Has_Parking Has_Warehouse   7559.263829
27                          Area Has_Parking Has_Elevator -12814.080522
28                        Area Has_Warehouse Has_Elevator   -757.716722
29                                                 Room^3    225.556826
30                                     Room^2 Has_Parking    277.042909
31                                   Room^2 Has_Warehouse    217.866467
32                                    Room^2 Has_Elevator   -342.139483
33                         Room Has_Parking Has_Warehouse   -279.073170
34                          Room Has_Parking Has_Elevator    468.949331
35                        Room Has_Warehouse Has_Elevator      0.000000
36                 Has_Parking Has_Warehouse Has_Elevator   3718.215610
37                                                 Area^4  -1843.955344
38                                            Area^3 Room   2608.743386
39                                     Area^3 Has_Parking   3548.444569
40                                   Area^3 Has_Warehouse   -722.309382
41                                    Area^3 Has_Elevator   1750.361807
42                                          Area^2 Room^2    979.325348
43                                Area^2 Room Has_Parking  -2344.886803
44                              Area^2 Room Has_Warehouse   -245.508842
45                               Area^2 Room Has_Elevator  -1234.159624
46                       Area^2 Has_Parking Has_Warehouse   8357.941907
47                        Area^2 Has_Parking Has_Elevator  -9508.886475
48                      Area^2 Has_Warehouse Has_Elevator  -1594.039662
49                                            Area Room^3   -448.223064
50                                Area Room^2 Has_Parking    952.798378
51                              Area Room^2 Has_Warehouse   1038.443005
52                               Area Room^2 Has_Elevator   -673.731710
53                    Area Room Has_Parking Has_Warehouse    529.112083
54                     Area Room Has_Parking Has_Elevator  -1703.717866
55                   Area Room Has_Warehouse Has_Elevator  -2920.005460
56            Area Has_Parking Has_Warehouse Has_Elevator  -3252.216386
57                                                 Room^4    100.777925
58                                     Room^3 Has_Parking   -542.237577
59                                   Room^3 Has_Warehouse    239.869461
60                                    Room^3 Has_Elevator    -77.425732
61                       Room^2 Has_Parking Has_Warehouse    239.679731
62                        Room^2 Has_Parking Has_Elevator    416.145773
63                      Room^2 Has_Warehouse Has_Elevator      0.000000
64            Room Has_Parking Has_Warehouse Has_Elevator      0.000000
65                                                 Area^5   -552.400008
66                                            Area^4 Room    366.049904
67                                     Area^4 Has_Parking   -390.983873
68                                   Area^4 Has_Warehouse   -800.833736
69                                    Area^4 Has_Elevator   1132.312023
70                                          Area^3 Room^2     16.856935
71                                Area^3 Room Has_Parking   1978.887417
72                              Area^3 Room Has_Warehouse     33.484246
73                               Area^3 Room Has_Elevator    715.824554
74                       Area^3 Has_Parking Has_Warehouse   4207.569766
75                        Area^3 Has_Parking Has_Elevator   1295.468597
76                      Area^3 Has_Warehouse Has_Elevator     -0.000000
77                                          Area^2 Room^3   -704.063243
78                              Area^2 Room^2 Has_Parking     83.348528
79                            Area^2 Room^2 Has_Warehouse    182.404387
80                             Area^2 Room^2 Has_Elevator   -166.448635
81                  Area^2 Room Has_Parking Has_Warehouse   -314.797658
82                   Area^2 Room Has_Parking Has_Elevator   -965.557930
83                 Area^2 Room Has_Warehouse Has_Elevator  -1686.197942
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -3424.257875
85                                            Area Room^4    584.846748
86                                Area Room^3 Has_Parking   -832.144602
87                              Area Room^3 Has_Warehouse    -35.869266
88                               Area Room^3 Has_Elevator   -188.727606
89                  Area Room^2 Has_Parking Has_Warehouse    662.931599
90                   Area Room^2 Has_Parking Has_Elevator    264.693852
91                 Area Room^2 Has_Warehouse Has_Elevator      0.000000
92       Area Room Has_Parking Has_Warehouse Has_Elevator  -1615.456583
93                                                 Room^5   -106.456754
94                                     Room^4 Has_Parking    256.857200
95                                   Room^4 Has_Warehouse      4.293552
96                                    Room^4 Has_Elevator    -57.265054
97                       Room^3 Has_Parking Has_Warehouse   -648.895281
98                        Room^3 Has_Parking Has_Elevator    161.492335
99                      Room^3 Has_Warehouse Has_Elevator      0.000000
100         Room^2 Has_Parking Has_Warehouse Has_Elevator    686.069754
101                                                Area^6   -498.264263
102                                           Area^5 Room   -265.248941
103                                    Area^5 Has_Parking   -264.732014
104                                  Area^5 Has_Warehouse    -51.726352
105                                   Area^5 Has_Elevator   -273.320177
106                                         Area^4 Room^2    151.028219
107                               Area^4 Room Has_Parking    384.907490
108                             Area^4 Room Has_Warehouse     79.703982
109                              Area^4 Room Has_Elevator    -27.454338
110                      Area^4 Has_Parking Has_Warehouse    627.631849
111                       Area^4 Has_Parking Has_Elevator    509.746978
112                     Area^4 Has_Warehouse Has_Elevator     33.901260
113                                         Area^3 Room^3    179.866679
114                             Area^3 Room^2 Has_Parking   -247.954150
115                           Area^3 Room^2 Has_Warehouse   -134.052995
116                            Area^3 Room^2 Has_Elevator     49.570022
117                 Area^3 Room Has_Parking Has_Warehouse   2339.058062
118                  Area^3 Room Has_Parking Has_Elevator    541.252354
119                Area^3 Room Has_Warehouse Has_Elevator    732.910369
120         Area^3 Has_Parking Has_Warehouse Has_Elevator   4712.979694
121                                         Area^2 Room^4   -341.029246
122                             Area^2 Room^3 Has_Parking   -469.723373
