Transformed Features and CoefficientsShahran: degree=10, λ=1e-08                                                  Feature   Coefficient
0                                                    Area  32084.253579
1                                                    Room  -1420.972143
2                                             Has_Parking  -1888.702347
3                                           Has_Warehouse -18246.711483
4                                            Has_Elevator    286.029478
5                                                  Area^2  11384.462587
6                                               Area Room  -4325.975019
7                                        Area Has_Parking   4881.234820
8                                      Area Has_Warehouse  -6203.358023
9                                       Area Has_Elevator  -6115.454441
10                                                 Room^2   1938.651723
11                                       Room Has_Parking   5427.797887
12                                     Room Has_Warehouse    507.126179
13                                      Room Has_Elevator   1550.565698
14                              Has_Parking Has_Warehouse  13675.104769
15                               Has_Parking Has_Elevator   2991.480017
16                             Has_Warehouse Has_Elevator    901.084084
17                                                 Area^3   -172.109778
18                                            Area^2 Room    -19.592442
19                                     Area^2 Has_Parking   6754.250871
20                                   Area^2 Has_Warehouse     93.435752
21                                    Area^2 Has_Elevator  -9498.338113
22                                            Area Room^2   1277.232675
23                                  Area Room Has_Parking   5425.747438
24                                Area Room Has_Warehouse  -2974.376369
25                                 Area Room Has_Elevator  -3254.421588
26                         Area Has_Parking Has_Warehouse   8172.426960
27                          Area Has_Parking Has_Elevator -13125.410756
28                        Area Has_Warehouse Has_Elevator  -1400.673333
29                                                 Room^3    144.328438
30                                     Room^2 Has_Parking    310.137782
31                                   Room^2 Has_Warehouse    437.937621
32                                    Room^2 Has_Elevator  -1152.870867
33                         Room Has_Parking Has_Warehouse  -1690.249598
34                          Room Has_Parking Has_Elevator   2515.963974
35                        Room Has_Warehouse Has_Elevator   -706.821050
36                 Has_Parking Has_Warehouse Has_Elevator   5151.961623
37                                                 Area^4  -1973.304043
38                                            Area^3 Room   3070.436505
39                                     Area^3 Has_Parking   3995.713888
40                                   Area^3 Has_Warehouse   -642.473432
41                                    Area^3 Has_Elevator   1409.054440
42                                          Area^2 Room^2   1046.569803
43                                Area^2 Room Has_Parking  -2577.880669
44                              Area^2 Room Has_Warehouse    -64.986136
45                               Area^2 Room Has_Elevator  -1594.756794
46                       Area^2 Has_Parking Has_Warehouse   9050.382121
47                        Area^2 Has_Parking Has_Elevator -10339.211659
48                      Area^2 Has_Warehouse Has_Elevator  -1728.363359
49                                            Area Room^3   -475.004355
50                                Area Room^2 Has_Parking   1376.149734
51                              Area Room^2 Has_Warehouse   1146.413881
52                               Area Room^2 Has_Elevator  -1353.707318
53                    Area Room Has_Parking Has_Warehouse   1565.160230
54                     Area Room Has_Parking Has_Elevator  -2482.899498
55                   Area Room Has_Warehouse Has_Elevator  -3285.535734
56            Area Has_Parking Has_Warehouse Has_Elevator  -2857.285964
57                                                 Room^4    139.138282
58                                     Room^3 Has_Parking   -535.763678
59                                   Room^3 Has_Warehouse    348.182454
60                                    Room^3 Has_Elevator   -293.885145
61                       Room^2 Has_Parking Has_Warehouse    432.079392
62                        Room^2 Has_Parking Has_Elevator    635.486064
63                      Room^2 Has_Warehouse Has_Elevator   -693.849528
64            Room Has_Parking Has_Warehouse Has_Elevator    733.962953
65                                                 Area^5   -531.092764
66                                            Area^4 Room    461.572579
67                                     Area^4 Has_Parking   -548.626547
68                                   Area^4 Has_Warehouse   -773.940303
69                                    Area^4 Has_Elevator   1338.662386
70                                          Area^3 Room^2     48.038135
71                                Area^3 Room Has_Parking   2075.251846
72                              Area^3 Room Has_Warehouse     41.952195
73                               Area^3 Room Has_Elevator    823.683645
74                       Area^3 Has_Parking Has_Warehouse   4324.983572
75                        Area^3 Has_Parking Has_Elevator   1045.865340
76                      Area^3 Has_Warehouse Has_Elevator   -368.606714
77                                          Area^2 Room^3   -688.011231
78                              Area^2 Room^2 Has_Parking    -72.690649
79                            Area^2 Room^2 Has_Warehouse    404.070012
80                             Area^2 Room^2 Has_Elevator   -355.214818
81                  Area^2 Room Has_Parking Has_Warehouse   -380.428001
82                   Area^2 Room Has_Parking Has_Elevator  -1234.306779
83                 Area^2 Room Has_Warehouse Has_Elevator  -1801.469198
84          Area^2 Has_Parking Has_Warehouse Has_Elevator  -3360.583202
85                                            Area Room^4    666.939482
86                                Area Room^3 Has_Parking   -924.129439
87                              Area Room^3 Has_Warehouse      2.005428
88                               Area Room^3 Has_Elevator   -117.791826
89                  Area Room^2 Has_Parking Has_Warehouse    863.136909
90                   Area Room^2 Has_Parking Has_Elevator    203.020536
91                 Area Room^2 Has_Warehouse Has_Elevator   -317.031382
92       Area Room Has_Parking Has_Warehouse Has_Elevator  -1959.616572
93                                                 Room^5   -106.925002
94                                     Room^4 Has_Parking    275.064440
95                                   Room^4 Has_Warehouse     -3.996392
96                                    Room^4 Has_Elevator    -50.356149
97                       Room^3 Has_Parking Has_Warehouse   -681.823187
98                        Room^3 Has_Parking Has_Elevator    223.152180
99                      Room^3 Has_Warehouse Has_Elevator   -101.876762
100         Room^2 Has_Parking Has_Warehouse Has_Elevator   1295.052042
101                                                Area^6   -496.601143
102                                           Area^5 Room   -310.051324
103                                    Area^5 Has_Parking   -217.216011
104                                  Area^5 Has_Warehouse     13.360407
105                                   Area^5 Has_Elevator   -343.291147
106                                         Area^4 Room^2    147.712161
107                               Area^4 Room Has_Parking    448.271978
108                             Area^4 Room Has_Warehouse    191.828850
109                              Area^4 Room Has_Elevator   -176.654226
110                      Area^4 Has_Parking Has_Warehouse    618.658548
111                       Area^4 Has_Parking Has_Elevator    546.893019
112                     Area^4 Has_Warehouse Has_Elevator     -1.913899
113                                         Area^3 Room^3    168.272181
